Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,asymmetric,0.31,0.3035233347823505
100% Corpus,2,asymmetric,0.61,0.2972815766029515
100% Corpus,2,asymmetric,0.9099999999999999,0.327313961311976
100% Corpus,2,asymmetric,symmetric,0.27944874853050805
100% Corpus,3,0.01,0.01,0.33621314489034004
100% Corpus,3,0.01,0.31,0.32217482631642963
100% Corpus,3,0.01,0.61,0.3740086113888488
100% Corpus,3,0.01,0.9099999999999999,0.3496565174848631
100% Corpus,3,0.01,symmetric,0.3290456293020804
100% Corpus,3,0.31,0.01,0.34090735373145925
100% Corpus,3,0.31,0.31,0.3556636971166726
100% Corpus,3,0.31,0.61,0.369671376880357
100% Corpus,3,0.31,0.9099999999999999,0.3401259850607903
100% Corpus,3,0.31,symmetric,0.3755275696241056
100% Corpus,3,0.61,0.01,0.336137462027259
100% Corpus,3,0.61,0.31,0.3743001198756208
100% Corpus,3,0.61,0.61,0.38802301047521154
100% Corpus,3,0.61,0.9099999999999999,0.37957192813210955
100% Corpus,3,0.61,symmetric,0.3700112553125468
100% Corpus,3,0.9099999999999999,0.01,0.3439795941049549
100% Corpus,3,0.9099999999999999,0.31,0.32547169672482695
100% Corpus,3,0.9099999999999999,0.61,0.3100003243941049
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3203516711368362
100% Corpus,3,0.9099999999999999,symmetric,0.32547169672482695
100% Corpus,3,symmetric,0.01,0.3591382556200815
100% Corpus,3,symmetric,0.31,0.3646118261240137
100% Corpus,3,symmetric,0.61,0.36670279409269185
100% Corpus,3,symmetric,0.9099999999999999,0.34138877313641564
100% Corpus,3,symmetric,symmetric,0.3799408699864238
100% Corpus,3,asymmetric,0.01,0.32405129752486506
100% Corpus,3,asymmetric,0.31,0.29612443221774404
100% Corpus,3,asymmetric,0.61,0.34507208373136117
100% Corpus,3,asymmetric,0.9099999999999999,0.3628409467764982
100% Corpus,3,asymmetric,symmetric,0.32100185707919354
100% Corpus,4,0.01,0.01,0.31854351912881695
100% Corpus,4,0.01,0.31,0.31136176571302226
100% Corpus,4,0.01,0.61,0.32072103164686283
100% Corpus,4,0.01,0.9099999999999999,0.36855950877826316
100% Corpus,4,0.01,symmetric,0.28117174484277546
100% Corpus,4,0.31,0.01,0.31011834209968636
100% Corpus,4,0.31,0.31,0.3300917057836719
100% Corpus,4,0.31,0.61,0.34663151085150484
100% Corpus,4,0.31,0.9099999999999999,0.3963933791692804
100% Corpus,4,0.31,symmetric,0.3317461098570885
100% Corpus,4,0.61,0.01,0.3389683263667256
100% Corpus,4,0.61,0.31,0.3720148908350954
100% Corpus,4,0.61,0.61,0.3578169891650729
100% Corpus,4,0.61,0.9099999999999999,0.35883390447857755
100% Corpus,4,0.61,symmetric,0.3553508257111826
100% Corpus,4,0.9099999999999999,0.01,0.3500448375150197
100% Corpus,4,0.9099999999999999,0.31,0.3758156826588258
100% Corpus,4,0.9099999999999999,0.61,0.37633802845825776
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.35256154831804937
100% Corpus,4,0.9099999999999999,symmetric,0.36034795313821144
100% Corpus,4,symmetric,0.01,0.3191321210185306
100% Corpus,4,symmetric,0.31,0.31394806385564566
100% Corpus,4,symmetric,0.61,0.3511111359116972
100% Corpus,4,symmetric,0.9099999999999999,0.3607270729028834
100% Corpus,4,symmetric,symmetric,0.31973369159392917
100% Corpus,4,asymmetric,0.01,0.3497408491052582
100% Corpus,4,asymmetric,0.31,0.3912457745161254
100% Corpus,4,asymmetric,0.61,0.3705171764467179
100% Corpus,4,asymmetric,0.9099999999999999,0.43561886343529205
100% Corpus,4,asymmetric,symmetric,0.3962960222763399
100% Corpus,5,0.01,0.01,0.3140034901538275
100% Corpus,5,0.01,0.31,0.3654960939681905
100% Corpus,5,0.01,0.61,0.358100079726829
100% Corpus,5,0.01,0.9099999999999999,0.4005244546732364
100% Corpus,5,0.01,symmetric,0.33338575727310343
100% Corpus,5,0.31,0.01,0.3132009329107308
100% Corpus,5,0.31,0.31,0.33142553473992864
100% Corpus,5,0.31,0.61,0.3582958462177253
100% Corpus,5,0.31,0.9099999999999999,0.3859215704967793
100% Corpus,5,0.31,symmetric,0.32930008269048977
100% Corpus,5,0.61,0.01,0.31090182414945916
100% Corpus,5,0.61,0.31,0.3323531670456597
100% Corpus,5,0.61,0.61,0.3631611913484474
100% Corpus,5,0.61,0.9099999999999999,0.3469768988950911
100% Corpus,5,0.61,symmetric,0.31740583737888467
100% Corpus,5,0.9099999999999999,0.01,0.31913614844338156
100% Corpus,5,0.9099999999999999,0.31,0.34466722392646537
100% Corpus,5,0.9099999999999999,0.61,0.35733750188057845
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3503332793849238
100% Corpus,5,0.9099999999999999,symmetric,0.35020916704683014
100% Corpus,5,symmetric,0.01,0.318237756771701
100% Corpus,5,symmetric,0.31,0.3455013798028026
100% Corpus,5,symmetric,0.61,0.3543401557918538
100% Corpus,5,symmetric,0.9099999999999999,0.37374117878189217
100% Corpus,5,symmetric,symmetric,0.3122479602892911
100% Corpus,5,asymmetric,0.01,0.3508141728314319
100% Corpus,5,asymmetric,0.31,0.34711178900373685
100% Corpus,5,asymmetric,0.61,0.4083682287340607
100% Corpus,5,asymmetric,0.9099999999999999,0.4226208179040996
100% Corpus,5,asymmetric,symmetric,0.32861827246060826
100% Corpus,6,0.01,0.01,0.30649768569755326
100% Corpus,6,0.01,0.31,0.36534161300063506
100% Corpus,6,0.01,0.61,0.38425697747323656
100% Corpus,6,0.01,0.9099999999999999,0.375581174863002
100% Corpus,6,0.01,symmetric,0.3085979399477766
